Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Brighton,Chelsea,Y,CB,78,0,0,0,0,0,0,56,2,0,2,0.0,0.0,0.0,0,0,39,48,81.3,2,28,0,1,1,Ben-White,1,3,0,0,1,4
Away,Brighton,Newcastle Utd,Y,"CB,RB",90,0,0,0,0,0,0,61,0,2,1,0.0,0.0,0.0,3,2,41,58,70.7,3,30,2,0,0,Ben-White,3,0,1,0,0,3
Home,Brighton,Manchester Utd,Y,CB,90,0,0,0,0,0,0,73,2,2,1,0.0,0.0,0.1,2,0,60,66,90.9,7,55,2,1,1,Ben-White,2,3,0,0,1,5
Away,Brighton,Everton,Y,CB,90,0,0,0,0,0,0,102,1,2,3,0.0,0.0,0.0,0,0,77,91,84.6,9,65,1,2,1,Ben-White,2,4,0,0,1,6
Away,Brighton,Crystal Palace,Y,CM,90,0,0,0,0,1,0,77,4,2,1,0.0,0.0,0.0,4,1,52,66,78.8,11,36,1,1,1,Ben-White,1,1,0,1,0,2
Home,Brighton,West Brom,Y,"CM,CB",90,0,0,0,0,0,0,51,4,3,1,0.0,0.0,0.0,0,0,33,36,91.7,2,22,1,0,0,Ben-White,1,1,0,1,0,2
Away,Brighton,Tottenham,Y,"DM,CM",90,0,0,0,0,0,0,56,6,1,2,0.0,0.0,0.0,2,0,32,43,74.4,2,21,0,0,0,Ben-White,1,2,0,0,1,3
Home,Brighton,Burnley,Y,CB,90,0,0,0,0,0,0,60,0,4,0,0.0,0.0,0.0,0,0,44,52,84.6,1,34,0,2,1,Ben-White,0,0,0,1,0,0
Away,Brighton,Aston Villa,Y,"CM,CB",90,0,0,0,0,0,0,42,2,1,1,0.0,0.0,0.0,1,1,27,34,79.4,4,22,0,0,0,Ben-White,2,1,1,0,0,3
Home,Brighton,Liverpool,Y,CB,90,0,0,0,0,0,0,52,2,4,1,0.0,0.0,0.1,1,0,33,43,76.7,3,30,1,0,0,Ben-White,1,1,0,1,0,2
Home,Brighton,Southampton,Y,"CM,DM",80,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,13,20,65.0,2,12,0,2,1,Ben-White,1,2,0,0,1,3
Away,Brighton,Leicester City,Y,CB,90,0,0,0,0,0,0,66,1,1,2,0.0,0.0,0.0,0,0,46,55,83.6,3,31,1,0,0,Ben-White,0,3,0,0,1,3
Away,Brighton,Fulham,Y,CB,90,0,0,0,0,0,0,69,3,1,2,0.0,0.0,0.0,1,0,50,65,76.9,2,49,1,1,1,Ben-White,0,0,0,1,0,0
Home,Brighton,Sheffield Utd,Y,"CB,RB",71,0,0,0,0,0,0,68,0,0,0,0.0,0.0,0.0,0,0,53,63,84.1,7,41,4,0,0,Ben-White,1,1,0,1,0,2
Away,Brighton,West Ham,Y,WB,90,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.0,1,0,29,39,74.4,2,16,1,2,1,Ben-White,2,2,0,1,0,4
Home,Brighton,Wolves,Y,CM,90,0,0,0,0,0,0,61,2,4,1,0.0,0.0,0.0,3,0,42,50,84.0,6,40,1,0,0,Ben-White,3,3,0,1,0,6
Away,Brighton,Manchester City,Y,"DM,CM",90,0,0,0,0,0,0,44,1,2,1,0.0,0.0,0.0,1,0,37,41,90.2,3,31,1,0,0,Ben-White,0,1,0,0,1,1
Away,Brighton,Leeds United,Y,CM,90,0,0,0,0,2,0,32,0,1,3,0.1,0.1,0.0,3,0,17,21,81.0,1,11,3,3,2,Ben-White,1,0,1,0,0,1
