Venue,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,TeamGoals,OpponentGoals,Win,Draw,Loss
Home,Fulham,N,LW,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,4,1,1,0,0
Home,Aston Villa,Y,LW,45,0,0,0,0,1,0,22,1,0,1,0.0,0.0,0.3,1,0,12,16,75.0,1,16,2,1,1,3,2,1,0,0
Away,Manchester Utd,Y,LW,79,0,1,0,0,2,1,42,4,0,2,0.4,0.4,0.5,4,1,21,26,80.8,3,21,4,5,2,1,1,0,1,0
Home,Bournemouth,Y,"LW,RW",82,0,0,0,0,1,0,40,3,0,2,0.1,0.1,0.1,7,0,17,24,70.8,4,24,3,5,3,1,0,1,0,0
Away,Sheffield Utd,Y,"LW,AM",90,0,0,0,0,0,0,34,0,0,1,0.0,0.0,0.1,3,0,17,28,60.7,2,22,6,5,5,0,1,0,0,1
Home,Crystal Palace,N,LM,30,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,6,0,0,0,2,2,0,1,0
Home,Wolves,N,LW,18,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,8,12,66.7,3,8,0,0,0,1,1,0,1,0
Away,Norwich City,N,LW,13,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,2,0,5,8,62.5,0,7,3,2,1,2,2,0,1,0
Home,Manchester City,N,LB,51,0,0,0,0,0,0,40,1,1,1,0.0,0.0,0.0,0,0,25,33,75.8,3,29,3,0,0,0,3,0,0,1
Away,Everton,Y,LB,90,0,0,0,0,0,0,64,4,1,1,0.0,0.0,0.0,0,0,43,56,76.8,7,33,1,0,0,0,0,0,1,0
Away,Bournemouth,Y,LB,90,0,0,0,0,0,0,62,2,2,0,0.0,0.0,0.0,0,0,40,55,72.7,2,29,5,0,0,1,1,0,1,0
Home,Chelsea,Y,LB,90,0,0,0,0,0,0,50,2,0,0,0.0,0.0,0.1,2,0,33,45,73.3,5,21,1,1,0,1,2,0,0,1
Home,Manchester Utd,N,LB,22,0,0,0,0,1,1,17,1,1,0,0.1,0.1,0.0,1,0,11,13,84.6,1,5,2,0,0,2,0,1,0,0
Home,Sheffield Utd,Y,LB,90,0,0,0,0,0,0,94,2,1,1,0.0,0.0,0.0,3,0,63,84,75.0,6,56,10,2,1,1,1,0,1,0
