Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Arsenal,Norwich City,N,RM,14,1,0,0,0,1,1,15,3,1,0,0.0,0.0,0.0,2,2,7,11,63.6,3,2,0,0,0,Cedric-Soares,4,0,1,0,0,4
Away,Arsenal,Wolves,Y,RM,75,0,0,0,0,0,0,36,2,1,2,0.0,0.0,0.0,1,1,24,28,85.7,2,25,1,0,0,Cedric-Soares,2,0,1,0,0,2
Away,Arsenal,Tottenham,N,RB,7,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,10,15,66.7,1,7,0,2,2,Cedric-Soares,1,2,0,0,1,3
Home,Arsenal,Liverpool,Y,"RM,RB",75,0,0,0,0,0,0,37,2,1,1,0.0,0.0,0.0,0,0,14,24,58.3,0,13,0,0,0,Cedric-Soares,2,1,1,0,0,3
Away,Arsenal,Aston Villa,Y,"RM,RB",78,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,2,0,41,57,71.9,5,37,5,0,0,Cedric-Soares,0,1,0,0,1,1
Home,Arsenal,Southampton,N,RB,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Cedric-Soares,1,1,0,1,0,2
Home,Arsenal,Newcastle Utd,Y,RB,90,0,1,0,0,0,0,86,0,0,0,0.0,0.0,0.7,4,1,66,82,80.5,11,46,1,1,1,Cedric-Soares,3,0,1,0,0,3
Away,Arsenal,Southampton,Y,LB,90,0,0,0,0,1,0,77,3,1,2,0.0,0.0,0.1,4,1,40,63,63.5,4,25,3,1,1,Cedric-Soares,3,1,1,0,0,4
Home,Arsenal,Manchester Utd,Y,LB,90,0,0,0,0,1,0,57,0,1,2,0.1,0.1,0.0,1,0,37,53,69.8,10,35,3,0,0,Cedric-Soares,0,0,0,1,0,0
Away,Arsenal,Wolves,Y,LB,90,0,0,0,0,1,0,36,2,0,1,0.0,0.0,0.0,1,0,18,26,69.2,2,20,2,2,1,Cedric-Soares,1,2,0,0,1,3
Away,Arsenal,Aston Villa,Y,LB,64,0,0,0,0,0,0,37,2,0,0,0.0,0.0,0.1,1,0,24,34,70.6,2,22,4,1,0,Cedric-Soares,0,1,0,0,1,1
Home,Arsenal,Leeds United,Y,"LB,LM",90,0,0,0,0,2,1,68,1,2,1,0.1,0.1,0.1,1,0,45,56,80.4,3,33,2,0,0,Cedric-Soares,4,2,1,0,0,6
Away,Arsenal,Leicester City,Y,RB,90,0,0,0,0,0,0,81,2,3,0,0.0,0.0,0.0,1,0,52,67,77.6,3,42,3,3,0,Cedric-Soares,3,1,1,0,0,4
Home,Arsenal,Tottenham,Y,RB,90,0,0,0,0,1,0,66,2,1,0,0.1,0.1,0.0,1,0,43,57,75.4,7,31,2,1,0,Cedric-Soares,2,1,1,0,0,3
