Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,West Ham,Manchester Utd,N,CM,30,0,0,0,0,0,0,25,0,2,0,0.0,0.0,0.0,1,0,22,23,95.7,1,19,1,0,0,Declan-Rice,0,4,0,0,1,4
Away,West Ham,Southampton,Y,DM,75,0,0,0,0,0,0,37,0,3,1,0.0,0.0,0.0,1,0,23,30,76.7,1,13,0,0,0,Declan-Rice,2,3,0,0,1,5
Away,West Ham,Newcastle Utd,Y,DM,45,0,0,0,0,0,0,21,4,0,1,0.0,0.0,0.0,0,0,14,14,100.0,2,11,1,0,0,Declan-Rice,0,3,0,0,1,3
Home,West Ham,Huddersfield,N,CM,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Declan-Rice,2,0,1,0,0,2
Away,West Ham,Crystal Palace,N,CB,15,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,0,0,Declan-Rice,2,2,0,1,0,4
Away,West Ham,Everton,N,CB,14,0,0,0,0,1,0,10,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,5,0,0,0,Declan-Rice,0,4,0,0,1,4
Away,West Ham,Manchester City,Y,CB,90,0,0,0,0,0,0,28,1,2,2,0.0,0.0,0.0,0,0,9,13,69.2,0,7,0,0,0,Declan-Rice,1,2,0,0,1,3
Away,West Ham,Stoke City,N,CM,56,0,0,0,0,0,0,35,1,1,3,0.0,0.0,0.0,0,0,22,27,81.5,3,13,1,1,0,Declan-Rice,3,0,1,0,0,3
Away,West Ham,Bournemouth,N,WB,12,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,0,0,0,0,Declan-Rice,3,3,0,1,0,6
Home,West Ham,West Brom,N,LB,15,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,6,1,1,1,Declan-Rice,2,1,1,0,0,3
Away,West Ham,Tottenham,Y,CB,90,0,0,0,0,0,0,44,1,1,3,0.0,0.0,0.0,0,0,19,28,67.9,0,18,0,0,0,Declan-Rice,1,1,0,1,0,2
Away,West Ham,Huddersfield,N,CM,6,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Declan-Rice,4,1,1,0,0,5
Home,West Ham,Bournemouth,N,"CM,CB",1,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Declan-Rice,1,1,0,1,0,2
Home,West Ham,Crystal Palace,Y,CB,90,0,0,0,0,1,0,33,4,1,1,0.0,0.0,0.0,0,0,20,24,83.3,5,13,0,0,0,Declan-Rice,1,1,0,1,0,2
Away,West Ham,Brighton,Y,CB,65,0,0,0,0,0,0,38,1,1,0,0.0,0.0,0.0,0,0,25,32,78.1,4,17,3,0,0,Declan-Rice,1,3,0,0,1,4
Home,West Ham,Watford,N,CM,7,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Declan-Rice,2,0,1,0,0,2
Away,West Ham,Liverpool,N,LM,8,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Declan-Rice,1,4,0,0,1,5
Away,West Ham,Swansea City,Y,CB,90,0,0,0,0,0,0,92,4,2,1,0.0,0.0,0.0,1,0,65,78,83.3,2,51,0,0,0,Declan-Rice,1,4,0,0,1,5
Home,West Ham,Southampton,Y,CB,90,0,0,0,0,0,0,50,3,1,3,0.0,0.0,0.0,1,0,24,41,58.5,2,23,1,0,0,Declan-Rice,3,0,1,0,0,3
Away,West Ham,Chelsea,Y,CB,90,0,0,0,0,0,0,52,1,3,0,0.0,0.0,0.0,2,1,34,42,81.0,2,23,0,0,0,Declan-Rice,1,1,0,1,0,2
Home,West Ham,Stoke City,Y,CB,90,0,0,0,0,1,0,51,0,1,2,0.0,0.0,0.0,1,0,30,39,76.9,3,27,1,1,1,Declan-Rice,1,1,0,1,0,2
Away,West Ham,Arsenal,Y,CB,90,0,0,0,0,0,0,33,1,1,0,0.0,0.0,0.0,1,0,17,25,68.0,0,18,0,0,0,Declan-Rice,1,4,0,0,1,5
Home,West Ham,Manchester City,Y,CB,90,0,0,0,0,1,0,37,3,3,1,0.1,0.1,0.0,0,0,17,26,65.4,0,19,0,0,0,Declan-Rice,1,4,0,0,1,5
Away,West Ham,Leicester City,Y,CB,90,0,0,0,0,0,0,41,3,0,0,0.0,0.0,0.0,1,0,26,33,78.8,5,13,1,0,0,Declan-Rice,2,0,1,0,0,2
Home,West Ham,Manchester Utd,Y,CB,90,0,0,0,0,0,0,57,3,2,1,0.0,0.0,0.0,0,0,43,48,89.6,3,33,4,0,0,Declan-Rice,0,0,0,1,0,0
Home,West Ham,Everton,Y,CB,90,0,0,0,0,1,0,44,2,2,0,0.0,0.0,0.0,1,0,26,36,72.2,1,26,4,0,0,Declan-Rice,3,1,1,0,0,4
Away,West Ham,Liverpool,Y,DM,45,0,0,0,0,0,0,27,1,1,0,0.0,0.0,0.0,0,0,22,24,91.7,0,11,0,0,0,Declan-Rice,0,4,0,0,1,4
Away,West Ham,Everton,Y,DM,90,0,0,0,0,0,0,48,5,1,2,0.0,0.0,0.0,1,0,33,40,82.5,7,22,0,1,1,Declan-Rice,3,1,1,0,0,4
Home,West Ham,Chelsea,Y,CM,90,0,0,0,0,0,0,41,1,4,3,0.0,0.0,0.0,1,0,22,28,78.6,1,23,1,1,1,Declan-Rice,0,0,0,1,0,0
Home,West Ham,Manchester Utd,Y,DM,90,0,0,0,0,0,0,67,1,2,3,0.0,0.0,0.0,1,0,53,59,89.8,2,34,0,0,0,Declan-Rice,3,1,1,0,0,4
