Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Arsenal,Brighton,N,RW,8,0,0,0,0,1,1,4,1,0,0,0.1,0.1,0.0,0,0,3,3,100.0,0,5,0,0,0,Eddie-Nketiah,1,2,0,0,1,3
Away,Arsenal,Newcastle Utd,N,FW,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Eddie-Nketiah,1,2,0,0,1,3
Away,Arsenal,Leicester City,N,FW,7,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,0,0,Eddie-Nketiah,1,3,0,0,1,4
Away,Arsenal,Bournemouth,N,FW,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Eddie-Nketiah,2,1,1,0,0,3
Home,Arsenal,Manchester Utd,N,FW,5,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,Eddie-Nketiah,2,0,1,0,0,2
Away,Arsenal,Wolves,N,"AM,RW",20,0,0,0,0,1,0,6,0,0,0,0.1,0.1,0.1,3,0,5,5,100.0,0,4,2,2,2,Eddie-Nketiah,1,3,0,0,1,4
Away,Arsenal,Leicester City,N,FW,12,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,2,0,Eddie-Nketiah,0,3,0,0,1,3
Away,Arsenal,Burnley,N,AM,29,1,0,0,0,2,1,13,0,0,0,0.1,0.1,0.0,2,0,9,9,100.0,1,12,1,0,0,Eddie-Nketiah,3,1,1,0,0,4
Home,Arsenal,Sheffield Utd,N,FW,17,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.1,1,0,3,6,50.0,1,5,2,0,0,Eddie-Nketiah,1,1,0,1,0,2
Away,Arsenal,Burnley,N,FW,2,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Eddie-Nketiah,0,0,0,1,0,0
Home,Arsenal,Newcastle Utd,Y,FW,84,0,0,0,0,2,1,29,1,1,1,0.6,0.6,0.0,0,0,13,17,76.5,0,14,1,1,0,Eddie-Nketiah,4,0,1,0,0,4
Home,Arsenal,Everton,Y,FW,90,1,0,0,0,3,1,33,1,0,2,0.6,0.6,0.0,0,0,14,18,77.8,0,24,3,3,0,Eddie-Nketiah,3,2,1,0,0,5
Home,Arsenal,West Ham,Y,FW,58,0,0,0,0,1,1,22,0,0,0,0.3,0.3,0.1,1,0,10,15,66.7,0,14,1,2,1,Eddie-Nketiah,1,0,1,0,0,1
Away,Arsenal,Manchester City,Y,FW,66,0,0,0,0,1,0,25,2,0,3,0.1,0.1,0.0,1,0,11,15,73.3,2,18,0,1,1,Eddie-Nketiah,0,3,0,0,1,3
Away,Arsenal,Brighton,N,RW,13,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,6,1,0,0,Eddie-Nketiah,1,2,0,0,1,3
Away,Arsenal,Southampton,Y,FW,78,1,0,0,0,2,1,16,0,1,0,0.9,0.9,0.0,1,1,7,11,63.6,1,15,4,2,2,Eddie-Nketiah,2,0,1,0,0,2
Home,Arsenal,Norwich City,N,FW,15,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,3,0,5,7,71.4,2,8,1,1,1,Eddie-Nketiah,4,0,1,0,0,4
Away,Arsenal,Wolves,Y,FW,82,0,0,0,0,3,1,22,0,0,0,0.2,0.2,0.0,1,0,9,12,75.0,1,13,3,3,2,Eddie-Nketiah,2,0,1,0,0,2
Home,Arsenal,Leicester City,N,FW,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Eddie-Nketiah,1,1,0,1,0,2
Away,Arsenal,Aston Villa,Y,"RW,FW",90,0,0,0,0,2,0,27,0,0,0,0.3,0.3,0.0,0,0,16,22,72.7,5,22,1,0,0,Eddie-Nketiah,0,1,0,0,1,1
Home,Arsenal,Watford,N,FW,34,0,0,0,0,0,0,23,2,0,3,0.0,0.0,0.4,4,0,12,13,92.3,4,13,2,4,3,Eddie-Nketiah,3,2,1,0,0,5
Away,Arsenal,Fulham,N,FW,4,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Eddie-Nketiah,3,0,1,0,0,3
Home,Arsenal,West Ham,N,FW,14,1,0,0,0,1,1,7,0,0,0,0.5,0.5,0.0,0,0,2,4,50.0,0,4,0,1,1,Eddie-Nketiah,2,1,1,0,0,3
Away,Arsenal,Liverpool,N,FW,18,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Eddie-Nketiah,1,3,0,0,1,4
Home,Arsenal,Sheffield Utd,Y,FW,57,0,0,0,0,1,1,19,0,0,2,0.0,0.0,0.0,0,0,9,12,75.0,2,11,0,1,1,Eddie-Nketiah,2,1,1,0,0,3
Away,Arsenal,Manchester City,N,RW,8,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,2,1,Eddie-Nketiah,0,1,0,0,1,1
Home,Arsenal,Leicester City,N,FW,10,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0,Eddie-Nketiah,0,1,0,0,1,1
Away,Arsenal,Manchester Utd,N,FW,15,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Eddie-Nketiah,1,0,1,0,0,1
Home,Arsenal,Aston Villa,N,FW,26,0,0,0,0,1,0,11,0,0,0,0.2,0.2,0.1,2,0,8,8,100.0,0,5,0,2,1,Eddie-Nketiah,0,3,0,0,1,3
Away,Arsenal,Tottenham,N,FW,16,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,2,0,Eddie-Nketiah,0,2,0,0,1,2
Home,Arsenal,Burnley,N,FW,9,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,1,0,0,0,Eddie-Nketiah,0,1,0,0,1,1
Home,Arsenal,Southampton,Y,FW,64,0,1,0,0,1,1,19,1,0,0,0.0,0.0,0.3,2,1,12,13,92.3,1,10,1,1,1,Eddie-Nketiah,1,1,0,1,0,2
Away,Arsenal,Everton,Y,FW,75,0,0,0,0,2,1,26,0,0,2,0.1,0.1,0.0,0,0,7,14,50.0,0,13,2,2,1,Eddie-Nketiah,1,2,0,0,1,3
