Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Arsenal,Fulham,Y,CB,90,1,0,0,0,1,1,120,2,0,0,0.3,0.3,0.0,1,0,108,114,94.7,4,95,0,0,0,Gabriel-Dos-Santos,3,0,1,0,0,3
Home,Arsenal,West Ham,Y,CB,90,0,0,0,0,0,0,94,0,2,3,0.0,0.0,0.0,0,0,77,83,92.8,3,64,0,0,0,Gabriel-Dos-Santos,2,1,1,0,0,3
Home,Arsenal,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,109,1,1,1,0.0,0.0,0.0,0,0,95,104,91.3,6,83,1,0,0,Gabriel-Dos-Santos,2,1,1,0,0,3
Away,Arsenal,Manchester City,Y,CB,90,0,0,0,0,2,0,83,0,1,3,0.1,0.1,0.0,1,0,63,76,82.9,0,59,0,0,0,Gabriel-Dos-Santos,0,1,0,0,1,1
Home,Arsenal,Leicester City,Y,CB,90,0,0,0,0,2,0,105,2,1,1,0.2,0.2,0.0,2,0,80,97,82.5,9,86,0,0,0,Gabriel-Dos-Santos,0,1,0,0,1,1
Away,Arsenal,Manchester Utd,Y,CB,90,0,0,0,0,0,0,64,5,2,1,0.0,0.0,0.0,1,0,45,49,91.8,0,43,0,0,0,Gabriel-Dos-Santos,1,0,1,0,0,1
Home,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,0,0,92,0,4,2,0.0,0.0,0.0,0,0,65,82,79.3,2,65,1,0,0,Gabriel-Dos-Santos,0,3,0,0,1,3
Away,Arsenal,Leeds United,Y,CB,90,0,0,0,0,1,0,43,1,1,1,0.1,0.1,0.0,0,0,21,31,67.7,1,28,0,1,0,Gabriel-Dos-Santos,0,0,0,1,0,0
Home,Arsenal,Wolves,Y,CB,90,1,0,0,0,1,1,83,0,1,2,0.1,0.1,0.0,1,0,66,74,89.2,8,53,2,0,0,Gabriel-Dos-Santos,1,2,0,0,1,3
Away,Arsenal,Tottenham,Y,CB,90,0,0,0,0,0,0,92,2,0,0,0.0,0.0,0.0,2,0,81,88,92.0,6,78,3,2,2,Gabriel-Dos-Santos,0,2,0,0,1,2
Home,Arsenal,Burnley,Y,CB,90,0,0,0,0,3,1,82,1,3,1,0.2,0.2,0.0,0,0,51,70,72.9,0,53,1,0,0,Gabriel-Dos-Santos,0,1,0,0,1,1
Home,Arsenal,Southampton,Y,CB,61,0,0,0,0,0,0,54,2,2,1,0.0,0.0,0.0,1,0,33,41,80.5,2,31,0,0,0,Gabriel-Dos-Santos,1,1,0,1,0,2
Away,Arsenal,Wolves,N,CB,45,0,0,0,0,0,0,42,0,1,0,0.0,0.0,0.0,1,0,33,37,89.2,0,31,1,0,0,Gabriel-Dos-Santos,1,2,0,0,1,3
Away,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,1,1,71,0,0,3,0.1,0.1,0.0,0,0,55,61,90.2,6,41,1,0,0,Gabriel-Dos-Santos,0,1,0,0,1,1
Home,Arsenal,Leeds United,Y,CB,90,0,0,0,0,0,0,54,0,3,1,0.0,0.0,0.0,0,0,31,42,73.8,1,37,0,0,0,Gabriel-Dos-Santos,4,2,1,0,0,6
Home,Arsenal,Tottenham,Y,CB,90,0,0,0,0,0,0,67,0,0,1,0.0,0.0,0.0,0,0,55,63,87.3,2,47,1,1,1,Gabriel-Dos-Santos,2,1,1,0,0,3
Home,Arsenal,Liverpool,Y,CB,90,0,0,0,0,0,0,58,3,0,1,0.0,0.0,0.0,0,0,31,50,62.0,0,31,1,0,0,Gabriel-Dos-Santos,0,3,0,0,1,3
Home,Arsenal,Fulham,Y,CB,90,0,0,0,0,1,0,82,2,2,1,0.1,0.1,0.0,0,0,65,74,87.8,6,59,0,0,0,Gabriel-Dos-Santos,1,1,0,1,0,2
Away,Arsenal,Newcastle Utd,Y,CB,90,0,0,0,0,2,0,73,1,1,0,0.2,0.2,0.0,2,0,63,68,92.6,5,59,0,2,2,Gabriel-Dos-Santos,2,0,1,0,0,2
Home,Arsenal,West Brom,Y,CB,90,0,0,0,0,1,0,80,0,0,0,0.1,0.1,0.0,1,0,63,74,85.1,7,64,2,0,0,Gabriel-Dos-Santos,3,1,1,0,0,4
Away,Arsenal,Chelsea,Y,CB,90,0,0,0,0,0,0,57,1,0,3,0.0,0.0,0.0,0,0,30,42,71.4,3,33,3,0,0,Gabriel-Dos-Santos,1,0,1,0,0,1
Away,Arsenal,Crystal Palace,Y,CB,90,0,0,0,0,0,0,72,1,0,0,0.0,0.0,0.0,0,0,55,64,85.9,6,49,1,0,0,Gabriel-Dos-Santos,3,1,1,0,0,4
Home,Arsenal,Brighton,Y,CB,90,0,0,0,0,1,0,82,1,1,1,0.0,0.0,0.0,0,0,66,75,88.0,3,60,0,0,0,Gabriel-Dos-Santos,2,0,1,0,0,2
Home,Arsenal,Norwich City,Y,CB,90,0,0,0,0,2,0,58,2,0,3,0.1,0.1,0.0,2,0,45,48,93.8,4,40,0,0,0,Gabriel-Dos-Santos,1,0,1,0,0,1
Away,Arsenal,Burnley,Y,CB,90,0,0,0,0,0,0,70,3,0,2,0.0,0.0,0.0,0,0,45,54,83.3,0,35,0,0,0,Gabriel-Dos-Santos,1,0,1,0,0,1
Home,Arsenal,Tottenham,Y,CB,90,0,0,0,0,1,0,58,0,0,2,0.0,0.0,0.1,1,0,45,50,90.0,3,36,0,0,0,Gabriel-Dos-Santos,3,1,1,0,0,4
Away,Arsenal,Brighton,Y,CB,90,0,0,0,0,1,0,52,1,0,2,0.0,0.0,0.0,0,0,40,45,88.9,4,37,0,0,0,Gabriel-Dos-Santos,0,0,0,1,0,0
Home,Arsenal,Crystal Palace,Y,CB,90,0,0,0,0,1,0,86,1,1,0,0.0,0.0,0.0,1,0,71,79,89.9,7,58,0,1,1,Gabriel-Dos-Santos,2,2,0,1,0,4
Home,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,0,0,52,2,2,1,0.0,0.0,0.1,0,0,37,42,88.1,1,31,0,0,0,Gabriel-Dos-Santos,3,1,1,0,0,4
Away,Arsenal,Leicester City,Y,CB,90,1,0,0,0,1,1,44,0,0,2,0.1,0.1,0.0,0,0,26,32,81.3,0,19,0,0,0,Gabriel-Dos-Santos,2,0,1,0,0,2
Home,Arsenal,Watford,Y,CB,90,0,0,0,0,1,1,86,1,0,1,0.1,0.1,0.0,0,0,73,78,93.6,4,63,1,0,0,Gabriel-Dos-Santos,1,0,1,0,0,1
Away,Arsenal,Liverpool,Y,CB,90,0,0,0,0,0,0,60,5,0,2,0.0,0.0,0.0,0,0,45,52,86.5,1,38,0,1,1,Gabriel-Dos-Santos,0,4,0,0,1,4
Home,Arsenal,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,79,3,0,1,0.0,0.0,0.0,0,0,61,64,95.3,2,50,3,0,0,Gabriel-Dos-Santos,2,0,1,0,0,2
Away,Arsenal,Manchester Utd,Y,CB,90,0,0,0,0,1,1,72,0,0,0,0.1,0.1,0.0,4,0,60,68,88.2,3,40,1,1,1,Gabriel-Dos-Santos,2,3,0,0,1,5
Away,Arsenal,Everton,Y,CB,90,0,0,0,0,1,1,84,1,0,0,0.1,0.1,0.0,0,0,71,79,89.9,2,54,0,0,0,Gabriel-Dos-Santos,1,2,0,0,1,3
Home,Arsenal,Southampton,Y,CB,68,1,0,0,0,2,1,48,0,0,1,0.4,0.4,0.0,0,0,35,40,87.5,1,25,0,0,0,Gabriel-Dos-Santos,3,0,1,0,0,3
Home,Arsenal,West Ham,Y,CB,90,0,0,0,0,1,0,59,0,2,0,0.1,0.1,0.0,1,1,44,51,86.3,3,41,0,1,1,Gabriel-Dos-Santos,2,0,1,0,0,2
Away,Arsenal,Leeds United,Y,CB,90,0,0,0,0,2,0,51,0,0,0,0.0,0.0,0.0,1,0,36,45,80.0,1,42,0,0,0,Gabriel-Dos-Santos,4,1,1,0,0,5
Away,Arsenal,Norwich City,Y,CB,90,0,0,0,0,0,0,78,2,1,0,0.0,0.0,0.0,0,0,65,70,92.9,1,51,0,0,0,Gabriel-Dos-Santos,5,0,1,0,0,5
Home,Arsenal,Manchester City,Y,CB,58,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,11,13,84.6,1,9,0,0,0,Gabriel-Dos-Santos,1,2,0,0,1,3
Home,Arsenal,Burnley,Y,CB,90,0,0,0,0,1,1,105,0,0,1,0.1,0.1,0.0,1,0,84,97,86.6,8,81,2,0,0,Gabriel-Dos-Santos,0,0,0,1,0,0
Away,Arsenal,Wolves,Y,CB,90,1,0,0,0,3,1,59,2,1,1,0.8,0.8,0.4,2,0,38,44,86.4,3,38,0,0,0,Gabriel-Dos-Santos,1,0,1,0,0,1
Home,Arsenal,Brentford,Y,CB,90,0,0,0,0,0,0,63,3,0,2,0.0,0.0,0.0,0,0,50,57,87.7,0,36,0,0,0,Gabriel-Dos-Santos,2,1,1,0,0,3
Home,Arsenal,Wolves,Y,CB,90,0,0,0,0,1,0,81,2,0,0,0.0,0.0,0.0,1,0,65,73,89.0,5,51,0,0,0,Gabriel-Dos-Santos,2,1,1,0,0,3
Away,Arsenal,Watford,Y,CB,90,0,0,0,0,1,0,69,3,2,0,0.1,0.1,0.0,0,0,52,61,85.2,3,43,0,0,0,Gabriel-Dos-Santos,3,2,1,0,0,5
Home,Arsenal,Leicester City,Y,CB,90,0,0,0,0,0,0,70,1,1,1,0.0,0.0,0.0,0,0,60,63,95.2,4,47,0,0,0,Gabriel-Dos-Santos,2,0,1,0,0,2
Home,Arsenal,Liverpool,Y,CB,90,0,0,0,0,0,0,74,0,0,2,0.0,0.0,0.0,0,0,58,66,87.9,1,50,0,0,0,Gabriel-Dos-Santos,0,2,0,0,1,2
Away,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,0,0,73,0,0,0,0.0,0.0,0.0,0,0,61,64,95.3,1,55,1,0,0,Gabriel-Dos-Santos,1,0,1,0,0,1
