Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Manchester City,Brighton,Y,FW,77,0,0,0,0,4,1,37,1,0,0,0.9,0.9,0.0,2,0,20,26,76.9,3,17,3,2,2,Gabriel-Jesus,2,0,1,0,0,2
Home,Manchester City,Everton,Y,FW,45,0,0,0,0,2,1,35,0,0,1,0.1,0.1,0.0,1,0,23,28,82.1,4,17,1,3,2,Gabriel-Jesus,1,1,0,1,0,2
Away,Manchester City,Bournemouth,Y,"FW,LW",81,1,0,0,0,3,1,35,1,0,1,0.5,0.5,0.0,3,1,21,24,87.5,2,15,1,2,1,Gabriel-Jesus,2,1,1,0,0,3
Home,Manchester City,Liverpool,Y,FW,56,2,0,0,0,4,3,16,1,0,0,0.8,0.8,0.0,1,0,4,7,57.1,0,11,1,0,0,Gabriel-Jesus,5,0,1,0,0,5
Away,Manchester City,Watford,Y,LW,64,1,0,0,0,2,1,29,1,0,1,0.4,0.4,0.0,2,2,16,23,69.6,3,16,3,2,2,Gabriel-Jesus,6,0,1,0,0,6
Away,Manchester City,Chelsea,Y,FW,90,0,1,0,0,2,0,38,1,0,1,0.3,0.3,0.1,6,1,21,29,72.4,3,24,2,1,0,Gabriel-Jesus,1,0,1,0,0,1
Home,Manchester City,Stoke City,Y,FW,62,2,0,0,0,2,2,36,0,0,0,1.1,1.1,0.0,3,0,28,32,87.5,3,23,3,2,2,Gabriel-Jesus,7,2,1,0,0,9
Home,Manchester City,Burnley,N,FW,15,0,0,0,0,1,1,8,0,1,0,0.5,0.5,0.0,0,0,4,5,80.0,0,5,0,0,0,Gabriel-Jesus,3,0,1,0,0,3
Away,Manchester City,West Brom,Y,FW,81,0,0,0,0,0,0,51,1,1,4,0.0,0.0,0.0,1,0,30,38,78.9,1,25,1,0,0,Gabriel-Jesus,3,2,1,0,0,5
Home,Manchester City,Arsenal,N,FW,29,1,0,0,0,2,2,16,0,0,0,0.8,0.8,0.0,0,0,10,14,71.4,1,7,0,0,0,Gabriel-Jesus,3,1,1,0,0,4
Away,Manchester City,Leicester City,Y,FW,90,1,0,0,0,2,2,37,0,0,1,1.3,1.3,0.0,1,0,25,29,86.2,2,28,1,0,0,Gabriel-Jesus,2,0,1,0,0,2
Away,Manchester City,Huddersfield,N,"CB,FW",11,0,0,0,0,1,1,7,1,0,0,0.5,0.5,0.0,1,1,4,4,100.0,0,3,0,1,0,Gabriel-Jesus,2,1,1,0,0,3
Home,Manchester City,Southampton,Y,LW,73,0,0,0,0,4,3,59,5,1,1,0.4,0.4,0.0,5,1,30,46,65.2,1,36,0,0,0,Gabriel-Jesus,2,1,1,0,0,3
Home,Manchester City,West Ham,N,FW,45,0,1,0,0,3,1,31,0,0,1,0.3,0.3,0.8,2,1,17,21,81.0,3,20,2,2,1,Gabriel-Jesus,2,1,1,0,0,3
Away,Manchester City,Manchester Utd,Y,FW,58,0,0,0,0,1,1,29,2,0,0,0.3,0.3,0.0,4,1,15,19,78.9,1,17,3,4,3,Gabriel-Jesus,2,1,1,0,0,3
Home,Manchester City,Tottenham,N,FW,33,0,0,0,1,0,0,16,1,1,1,0.8,0.0,0.0,2,1,7,10,70.0,0,7,2,0,0,Gabriel-Jesus,4,1,1,0,0,5
Away,Manchester City,Newcastle Utd,N,FW,80,0,0,0,0,2,1,36,1,0,1,0.1,0.1,0.2,5,0,23,29,79.3,2,14,0,0,0,Gabriel-Jesus,1,0,1,0,0,1
Away,Manchester City,Crystal Palace,Y,FW,22,0,0,0,0,1,1,8,1,0,0,0.0,0.0,0.0,1,0,5,6,83.3,0,4,0,0,0,Gabriel-Jesus,0,0,0,1,0,0
Away,Manchester City,Arsenal,N,FW,4,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,2,0,0,0,Gabriel-Jesus,3,0,1,0,0,3
Home,Manchester City,Chelsea,N,FW,6,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,Gabriel-Jesus,1,0,1,0,0,1
Away,Manchester City,Stoke City,Y,FW,89,0,1,0,0,1,0,22,0,0,0,0.0,0.0,0.3,4,2,12,18,66.7,3,10,2,1,1,Gabriel-Jesus,2,0,1,0,0,2
Away,Manchester City,Everton,Y,FW,90,1,0,0,0,1,1,55,1,1,1,0.5,0.5,0.0,2,0,39,44,88.6,5,32,0,6,1,Gabriel-Jesus,3,1,1,0,0,4
Home,Manchester City,Manchester Utd,N,FW,19,0,0,0,0,2,0,8,0,0,0,0.1,0.1,0.0,0,0,5,5,100.0,0,4,0,0,0,Gabriel-Jesus,2,3,0,0,1,5
Away,Manchester City,Tottenham,Y,FW,75,1,0,0,0,3,2,18,1,0,0,0.5,0.5,0.1,2,1,8,12,66.7,2,10,0,2,1,Gabriel-Jesus,3,1,1,0,0,4
