Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Arsenal,Newcastle Utd,N,LW,7,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,Gabriel-Martinelli,1,0,1,0,0,1
Home,Arsenal,Bournemouth,N,"LW,RW",28,0,0,0,0,1,0,16,4,0,2,0.0,0.0,0.0,0,0,4,7,57.1,1,9,3,2,0,Gabriel-Martinelli,1,0,1,0,0,1
Away,Arsenal,Sheffield Utd,N,LW,13,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,2,0,0,Gabriel-Martinelli,0,1,0,0,1,1
Home,Arsenal,Wolves,N,"RW,FW",31,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,3,5,60.0,0,6,1,1,1,Gabriel-Martinelli,1,1,0,1,0,2
Home,Arsenal,Southampton,N,LW,8,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,2,1,1,Gabriel-Martinelli,2,2,0,1,0,4
Away,Arsenal,Norwich City,N,AM,2,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,Gabriel-Martinelli,2,2,0,1,0,4
Home,Arsenal,Brighton,N,LW,14,0,0,0,0,1,1,4,0,0,0,0.1,0.1,0.0,1,0,0,1,0.0,0,1,0,0,0,Gabriel-Martinelli,1,2,0,0,1,3
Away,Arsenal,West Ham,Y,LW,90,1,0,0,0,2,1,31,3,0,3,0.3,0.3,0.1,1,0,11,16,68.8,0,19,2,3,0,Gabriel-Martinelli,3,1,1,0,0,4
Home,Arsenal,Manchester City,Y,LW,90,0,0,0,0,1,1,41,3,1,2,0.3,0.3,0.0,2,0,14,21,66.7,1,31,6,6,2,Gabriel-Martinelli,0,3,0,0,1,3
Away,Arsenal,Everton,Y,LW,90,0,0,0,0,2,0,38,2,0,2,0.1,0.1,0.0,0,0,11,19,57.9,0,17,4,5,2,Gabriel-Martinelli,0,0,0,1,0,0
Away,Arsenal,Crystal Palace,N,"LW,FW",21,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,2,0,4,9,44.4,1,10,1,2,1,Gabriel-Martinelli,1,1,0,1,0,2
Home,Arsenal,Sheffield Utd,Y,LW,90,1,0,0,0,3,1,36,0,0,3,1.0,1.0,0.0,0,0,9,18,50.0,2,20,2,5,1,Gabriel-Martinelli,1,1,0,1,0,2
Away,Arsenal,Chelsea,Y,"LW,CM",89,1,0,0,0,1,1,37,3,1,0,0.4,0.4,0.0,0,0,10,19,52.6,4,21,4,3,0,Gabriel-Martinelli,2,2,0,1,0,4
