Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Chelsea,Brighton,Y,AM,79,0,0,0,0,0,0,34,3,0,0,0.0,0.0,0.1,2,0,24,27,88.9,4,19,1,2,1,Kai-Havertz,3,1,1,0,0,4
Home,Chelsea,Liverpool,Y,FW,45,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,12,15,80.0,1,6,0,0,0,Kai-Havertz,0,2,0,0,1,2
Away,Chelsea,West Brom,Y,"AM,CM",90,0,1,0,0,2,2,73,2,0,0,0.1,0.1,0.1,9,1,51,56,91.1,8,53,0,1,0,Kai-Havertz,3,3,0,1,0,6
Home,Chelsea,Crystal Palace,Y,AM,90,0,0,0,0,1,0,68,2,1,0,0.0,0.0,0.2,5,2,41,52,78.8,6,37,4,2,0,Kai-Havertz,4,0,1,0,0,4
Home,Chelsea,Southampton,Y,"AM,LM",90,1,0,0,0,2,1,73,0,0,2,0.5,0.5,0.0,1,0,43,52,82.7,7,56,3,2,1,Kai-Havertz,3,3,0,1,0,6
Away,Chelsea,Manchester Utd,Y,AM,71,0,0,0,0,0,0,42,1,0,2,0.0,0.0,0.1,1,0,25,33,75.8,2,22,2,2,1,Kai-Havertz,0,0,0,1,0,0
Away,Chelsea,Burnley,Y,RM,85,0,0,0,0,1,1,75,1,0,2,0.0,0.0,0.0,3,0,62,69,89.9,9,46,4,3,3,Kai-Havertz,3,0,1,0,0,3
Home,Chelsea,Tottenham,N,RW,8,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,Kai-Havertz,0,0,0,1,0,0
Home,Chelsea,Leeds United,Y,RM,66,0,0,0,0,1,0,43,0,1,0,0.4,0.4,0.0,2,0,29,35,82.9,3,28,2,1,1,Kai-Havertz,3,1,1,0,0,4
Away,Chelsea,Everton,Y,RW,67,0,0,0,0,1,0,38,2,0,0,0.0,0.0,0.1,3,0,23,29,79.3,3,25,3,3,2,Kai-Havertz,0,1,0,0,1,1
Away,Chelsea,Wolves,Y,RM,70,0,0,0,0,0,0,47,0,0,3,0.0,0.0,0.0,0,0,27,34,79.4,4,19,2,1,0,Kai-Havertz,1,2,0,0,1,3
Home,Chelsea,West Ham,N,RW,7,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,6,1,0,0,Kai-Havertz,3,0,1,0,0,3
Away,Chelsea,Arsenal,N,CM,17,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,2,0,7,8,87.5,1,5,0,2,0,Kai-Havertz,1,3,0,0,1,4
Home,Chelsea,Aston Villa,N,CM,19,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.0,2,0,16,18,88.9,1,9,2,0,0,Kai-Havertz,1,1,0,1,0,2
Home,Chelsea,Manchester City,N,CM,14,0,1,0,0,1,0,9,0,0,0,0.0,0.0,0.3,2,1,7,7,100.0,3,7,1,0,0,Kai-Havertz,1,3,0,0,1,4
Away,Chelsea,Leicester City,Y,AM,66,0,0,0,0,0,0,41,2,0,0,0.0,0.0,0.0,1,0,26,37,70.3,1,11,2,1,1,Kai-Havertz,0,2,0,0,1,2
Home,Chelsea,Wolves,Y,"AM,LW",90,0,0,0,0,3,0,80,0,0,2,0.2,0.2,0.1,1,0,60,69,87.0,1,46,5,0,0,Kai-Havertz,0,0,0,1,0,0
Home,Chelsea,Burnley,N,AM,11,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.1,1,0,5,7,71.4,1,3,1,0,0,Kai-Havertz,2,0,1,0,0,2
