Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Brighton,West Ham,Y,LW,84,1,0,0,0,4,1,36,1,0,1,0.4,0.4,0.0,4,1,18,27,66.7,3,29,2,2,1,Leandro-Trossard,1,1,0,1,0,2
Home,Brighton,Southampton,Y,"FW,LW",90,0,0,0,0,1,0,45,1,0,0,0.0,0.0,0.5,9,0,27,38,71.1,3,27,8,3,3,Leandro-Trossard,0,2,0,0,1,2
Away,Brighton,Manchester City,Y,"LW,RW",73,0,0,0,0,3,1,26,2,0,0,0.6,0.6,0.0,0,0,10,17,58.8,3,15,1,2,2,Leandro-Trossard,0,4,0,0,1,4
Home,Brighton,Everton,N,LW,26,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,6,11,54.5,0,9,4,1,1,Leandro-Trossard,3,2,1,0,0,5
Home,Brighton,Norwich City,N,RM,32,1,1,0,0,1,1,20,0,0,1,0.3,0.3,1.0,5,1,13,15,86.7,4,11,2,0,0,Leandro-Trossard,2,0,1,0,0,2
Away,Brighton,Manchester Utd,Y,"LM,LW",58,0,0,0,0,0,0,31,2,1,0,0.0,0.0,0.2,2,0,16,25,64.0,2,15,0,2,0,Leandro-Trossard,1,3,0,0,1,4
Home,Brighton,Leicester City,Y,"AM,LM,LW",90,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,3,0,26,38,68.4,1,35,3,6,3,Leandro-Trossard,0,2,0,0,1,2
Away,Brighton,Liverpool,N,LW,22,0,0,0,0,1,0,26,0,0,0,0.2,0.2,0.0,2,1,11,19,57.9,2,18,0,2,0,Leandro-Trossard,1,2,0,0,1,3
Away,Brighton,Arsenal,N,"LW,LM",11,0,0,0,0,1,0,10,0,0,0,0.1,0.1,0.0,1,1,6,8,75.0,1,9,2,0,0,Leandro-Trossard,2,1,1,0,0,3
Home,Brighton,Wolves,Y,LW,67,0,1,0,0,1,0,22,0,0,0,0.0,0.0,0.1,3,1,15,20,75.0,2,10,1,0,0,Leandro-Trossard,2,2,0,1,0,4
Away,Brighton,Crystal Palace,Y,LW,83,0,0,0,0,1,1,87,0,1,0,0.0,0.0,0.0,3,1,63,82,76.8,7,68,13,1,1,Leandro-Trossard,1,1,0,1,0,2
Home,Brighton,Sheffield Utd,Y,LW,45,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,3,8,0,0,0,Leandro-Trossard,0,1,0,0,1,1
Away,Brighton,Tottenham,N,AM,15,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,1,7,0,0,0,Leandro-Trossard,1,2,0,0,1,3
Home,Brighton,Bournemouth,Y,"LW,LM",90,0,1,0,0,1,0,50,2,1,0,0.0,0.0,0.3,7,1,32,42,76.2,3,34,5,0,0,Leandro-Trossard,2,0,1,0,0,2
Home,Brighton,Chelsea,Y,"FW,LM,LW",90,0,0,0,0,2,1,50,3,1,0,0.1,0.1,0.1,7,1,23,35,65.7,4,31,2,2,0,Leandro-Trossard,1,1,0,1,0,2
Away,Brighton,Everton,Y,"LW,LM",90,0,0,0,0,2,0,47,2,1,0,0.1,0.1,0.1,4,0,20,31,64.5,5,29,3,5,3,Leandro-Trossard,0,1,0,0,1,1
Home,Brighton,Aston Villa,Y,"LM,LW",80,1,0,0,0,1,1,55,3,0,1,0.1,0.1,0.1,1,0,27,39,69.2,5,31,2,2,2,Leandro-Trossard,1,1,0,1,0,2
Away,Brighton,Bournemouth,N,RM,31,0,0,0,0,1,0,14,1,0,2,0.0,0.0,0.0,2,0,3,7,42.9,0,10,1,0,0,Leandro-Trossard,1,3,0,0,1,4
