Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Arsenal,Manchester Utd,N,AM,8,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,Martin-Odegaard,0,0,0,1,0,0
Away,Arsenal,Aston Villa,N,AM,26,0,0,0,0,1,0,34,0,0,0,0.1,0.1,0.0,0,0,24,29,82.8,5,21,1,0,0,Martin-Odegaard,0,1,0,0,1,1
Home,Arsenal,Leeds United,Y,AM,77,0,0,0,0,2,0,40,0,1,0,0.1,0.1,0.1,2,0,26,32,81.3,2,26,0,2,2,Martin-Odegaard,4,2,1,0,0,6
Home,Arsenal,Manchester City,Y,AM,72,0,0,0,0,0,0,38,1,0,0,0.0,0.0,0.0,0,0,28,34,82.4,1,25,1,1,1,Martin-Odegaard,0,1,0,0,1,1
Away,Arsenal,Leicester City,N,AM,49,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.1,2,1,23,27,85.2,7,14,2,1,1,Martin-Odegaard,3,1,1,0,0,4
Away,Arsenal,Burnley,Y,AM,62,0,0,0,0,2,1,44,0,0,1,0.1,0.1,0.1,4,0,33,36,91.7,3,23,1,2,0,Martin-Odegaard,1,1,0,1,0,2
Home,Arsenal,Tottenham,Y,"AM,FW",90,1,0,0,0,2,1,73,3,1,0,0.1,0.1,0.1,5,0,56,62,90.3,10,41,1,1,0,Martin-Odegaard,2,1,1,0,0,3
Away,Arsenal,West Ham,Y,AM,90,0,0,0,0,3,1,88,0,0,0,0.2,0.2,0.2,10,1,73,85,85.9,15,65,5,4,4,Martin-Odegaard,3,3,0,1,0,6
Home,Arsenal,Liverpool,Y,AM,90,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,1,0,30,33,90.9,4,21,0,0,0,Martin-Odegaard,0,3,0,0,1,3
Home,Arsenal,Everton,N,AM,17,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,14,14,100.0,1,7,0,0,0,Martin-Odegaard,0,1,0,0,1,1
Away,Arsenal,Newcastle Utd,Y,AM,84,0,0,0,0,1,0,66,1,0,0,0.1,0.1,0.3,8,1,55,62,88.7,6,50,2,1,1,Martin-Odegaard,2,0,1,0,0,2
Away,Arsenal,Chelsea,Y,AM,90,0,0,0,0,2,0,51,0,0,0,0.1,0.1,0.1,2,0,39,45,86.7,1,38,1,2,1,Martin-Odegaard,1,0,1,0,0,1
Away,Arsenal,Crystal Palace,N,AM,26,0,1,0,0,0,0,15,0,0,0,0.0,0.0,0.8,2,1,13,14,92.9,2,10,0,1,1,Martin-Odegaard,3,1,1,0,0,4
