Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Arsenal,Leicester City,Y,CM,66,0,1,0,0,1,0,82,4,0,2,0.0,0.0,0.1,3,1,65,72,90.3,4,57,0,0,0,Mohamed-Elneny,4,3,1,0,0,7
Away,Arsenal,Chelsea,N,CM,11,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,8,9,88.9,2,5,0,0,0,Mohamed-Elneny,0,0,0,1,0,0
Home,Arsenal,West Brom,Y,CM,90,0,0,0,0,1,0,82,0,0,0,0.0,0.0,0.1,6,0,72,78,92.3,9,68,1,0,0,Mohamed-Elneny,2,0,1,0,0,2
Home,Arsenal,Brighton,N,CM,8,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,1,0,7,7,100.0,1,5,0,0,0,Mohamed-Elneny,2,0,1,0,0,2
Away,Arsenal,Watford,Y,CM,90,0,0,0,0,1,0,75,2,0,1,0.0,0.0,0.0,0,0,61,68,89.7,10,52,1,0,0,Mohamed-Elneny,1,2,0,0,1,3
Home,Arsenal,Crystal Palace,Y,DM,90,0,0,0,0,1,1,105,1,1,1,0.0,0.0,0.0,0,0,94,98,95.9,5,80,0,1,1,Mohamed-Elneny,4,1,1,0,0,5
Away,Arsenal,Swansea City,Y,CM,59,0,0,0,0,0,0,98,0,1,0,0.0,0.0,0.0,2,0,92,93,98.9,5,75,3,0,0,Mohamed-Elneny,1,3,0,0,1,4
Away,Arsenal,Tottenham,Y,CM,64,0,0,0,0,0,0,38,0,0,2,0.0,0.0,0.0,0,0,28,34,82.4,0,24,0,0,0,Mohamed-Elneny,0,1,0,0,1,1
Home,Arsenal,Watford,Y,DM,90,0,0,0,0,0,0,80,2,0,1,0.0,0.0,0.6,4,0,67,74,90.5,9,49,1,0,0,Mohamed-Elneny,3,0,1,0,0,3
Home,Arsenal,Stoke City,Y,DM,75,0,0,0,0,2,0,87,0,1,1,0.2,0.2,0.0,1,0,72,82,87.8,4,64,2,1,1,Mohamed-Elneny,3,0,1,0,0,3
Home,Arsenal,Southampton,Y,"DM,RM",89,0,0,0,0,1,0,128,2,2,1,0.0,0.0,0.1,4,0,111,116,95.7,8,100,2,1,0,Mohamed-Elneny,3,2,1,0,0,5
Away,Arsenal,Newcastle Utd,Y,RM,90,0,0,0,0,1,0,90,1,3,0,0.0,0.0,0.0,3,0,77,84,91.7,11,67,2,1,1,Mohamed-Elneny,1,2,0,0,1,3
Home,Arsenal,West Ham,Y,RM,44,0,0,0,0,0,0,39,0,1,1,0.0,0.0,0.0,1,0,35,37,94.6,6,31,1,0,0,Mohamed-Elneny,4,1,1,0,0,5
Home,Arsenal,Burnley,Y,"RM,CM",58,0,0,0,0,2,0,39,3,0,1,0.2,0.2,0.0,1,0,27,28,96.4,2,28,0,2,1,Mohamed-Elneny,3,1,1,0,0,4
Home,Arsenal,Chelsea,N,CM,19,0,0,0,0,1,0,14,1,0,0,0.0,0.0,0.0,2,0,7,10,70.0,4,6,1,0,0,Mohamed-Elneny,2,0,1,0,0,2
Home,Arsenal,Cardiff City,Y,CM,45,0,0,0,0,1,0,56,3,0,2,0.0,0.0,0.0,0,0,41,46,89.1,5,31,1,0,0,Mohamed-Elneny,2,1,1,0,0,3
Away,Arsenal,Huddersfield,N,CM,32,0,0,0,0,1,0,21,2,0,1,0.1,0.1,0.0,0,0,13,16,81.3,1,8,0,0,0,Mohamed-Elneny,2,1,1,0,0,3
Home,Arsenal,Newcastle Utd,N,CM,24,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,24,26,92.3,3,18,0,0,0,Mohamed-Elneny,2,0,1,0,0,2
