Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Arsenal,Crystal Palace,Y,LB,82,0,1,0,0,1,1,68,5,3,0,0.0,0.0,0.3,2,1,43,55,78.2,5,38,1,0,0,Oleksandr-Zinchenko,2,0,1,0,0,2
Home,Arsenal,Leicester City,Y,LB,76,0,0,0,0,2,0,66,1,2,0,0.1,0.1,0.0,2,0,56,59,94.9,5,39,5,0,0,Oleksandr-Zinchenko,4,2,1,0,0,6
Away,Arsenal,Bournemouth,Y,LB,90,0,0,0,0,0,0,82,2,0,0,0.0,0.0,0.0,1,0,67,78,85.9,3,64,1,2,1,Oleksandr-Zinchenko,3,0,1,0,0,3
Away,Arsenal,Manchester Utd,Y,LB,73,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,46,50,92.0,7,25,2,0,0,Oleksandr-Zinchenko,1,3,0,0,1,4
Home,Arsenal,Tottenham,Y,LB,72,0,0,0,0,1,0,68,1,0,0,0.0,0.0,0.0,2,0,56,62,90.3,15,43,4,1,1,Oleksandr-Zinchenko,3,1,1,0,0,4
Away,Arsenal,Chelsea,Y,LB,77,0,0,0,0,0,0,56,4,1,3,0.0,0.0,0.0,0,0,32,40,80.0,3,21,0,0,0,Oleksandr-Zinchenko,1,0,1,0,0,1
Away,Arsenal,Wolves,Y,LB,89,0,0,0,0,1,0,85,1,0,0,0.0,0.0,0.2,2,0,68,77,88.3,11,60,2,0,0,Oleksandr-Zinchenko,2,0,1,0,0,2
Home,Arsenal,West Ham,N,LB,18,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,0,0,30,32,93.8,2,21,1,0,0,Oleksandr-Zinchenko,3,1,1,0,0,4
Away,Arsenal,Brighton,Y,LB,59,0,0,0,0,1,1,43,2,1,0,0.5,0.5,0.0,3,0,31,34,91.2,6,25,0,0,0,Oleksandr-Zinchenko,4,2,1,0,0,6
Home,Arsenal,Newcastle Utd,Y,LB,90,0,0,0,0,1,0,108,0,0,3,0.1,0.1,0.0,2,0,88,97,90.7,14,47,1,0,0,Oleksandr-Zinchenko,0,0,0,1,0,0
Away,Arsenal,Tottenham,Y,LB,85,0,0,0,0,0,0,87,2,0,2,0.0,0.0,0.0,0,0,68,78,87.2,5,53,2,2,2,Oleksandr-Zinchenko,2,0,1,0,0,2
Home,Arsenal,Manchester Utd,Y,LB,90,0,0,0,0,1,0,80,2,2,3,0.0,0.0,0.1,5,0,59,70,84.3,11,44,4,0,0,Oleksandr-Zinchenko,3,2,1,0,0,5
Away,Arsenal,Everton,Y,LB,90,0,0,0,0,2,0,119,0,0,1,0.1,0.1,0.1,1,0,92,110,83.6,21,68,4,0,0,Oleksandr-Zinchenko,0,1,0,0,1,1
Home,Arsenal,Brentford,Y,LB,90,0,0,0,0,5,1,105,2,0,1,0.1,0.1,0.1,5,0,81,95,85.3,14,69,10,2,2,Oleksandr-Zinchenko,1,1,0,1,0,2
Home,Arsenal,Manchester City,Y,LB,90,0,0,0,0,0,0,85,2,2,0,0.0,0.0,0.3,3,0,61,74,82.4,8,41,3,2,1,Oleksandr-Zinchenko,1,3,0,0,1,4
Away,Arsenal,Aston Villa,Y,LB,89,1,0,0,0,3,2,98,2,0,1,0.1,0.1,0.0,2,0,75,89,84.3,8,43,6,2,0,Oleksandr-Zinchenko,4,2,1,0,0,6
Away,Arsenal,Leicester City,Y*,LB,89,0,0,0,0,1,1,78,0,2,0,0.1,0.1,0.1,3,0,63,75,84.0,10,47,5,1,1,Oleksandr-Zinchenko,1,0,1,0,0,1
Home,Arsenal,Everton,Y,LB,80,0,1,0,0,0,0,105,1,2,1,0.0,0.0,0.2,4,2,88,102,86.3,15,65,1,2,2,Oleksandr-Zinchenko,4,0,1,0,0,4
