Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Match Report
Sat,Premier League,Matchweek 1,Away,D 3–3,Liverpool,Watford,Y,RW,85,1,0,0,0,5,1,0,0,29,0,0,0,1.1,1.1,0.0,2,1,14,20,70.0,2,21,3,1,1,Match Report
Sat,Premier League,Matchweek 2,Home,W 1–0,Liverpool,Crystal Palace,N,"RW,RM",30,0,0,0,0,2,2,0,0,17,1,0,0,0.1,0.1,0.1,4,0,9,12,75.0,1,12,0,1,1,Match Report
Sun,Premier League,Matchweek 3,Home,W 4–0,Liverpool,Arsenal,Y,"RW,LW",90,1,1,0,0,5,5,0,0,33,1,0,0,1.4,1.4,0.5,3,1,19,23,82.6,0,23,5,1,1,Match Report
Sat,Premier League,Matchweek 4,Away,L 0–5,Liverpool,Manchester City,Y,"RW,RM",45,0,0,0,0,1,1,0,0,19,0,0,0,0.3,0.3,0.0,2,0,11,15,73.3,1,12,3,5,3,Match Report
Sat,Premier League,Matchweek 5,Home,D 1–1,Liverpool,Burnley,Y,RW,90,1,0,0,0,6,4,0,0,63,1,0,0,0.3,0.3,0.2,6,0,34,47,72.3,5,43,3,3,3,Match Report
Sat,Premier League,Matchweek 6,Away,W 3–2,Liverpool,Leicester City,Y,RW,90,1,0,0,0,4,1,0,0,46,0,1,0,0.6,0.6,0.0,1,0,22,38,57.9,3,27,4,2,0,Match Report
Sun,Premier League,Matchweek 7,Away,D 1–1,Liverpool,Newcastle Utd,Y,RW,83,0,0,0,0,1,0,0,0,46,0,1,0,0.3,0.3,0.0,3,0,31,41,75.6,3,19,1,1,1,Match Report
Sat,Premier League,Matchweek 8,Home,D 0–0,Liverpool,Manchester Utd,Y,RW,77,0,0,0,0,4,1,0,0,38,0,0,0,0.2,0.2,0.1,4,0,21,25,84.0,2,27,4,11,8,Match Report
Sun,Premier League,Matchweek 9,Away,L 1–4,Liverpool,Tottenham,Y,RW,90,1,0,0,0,3,3,0,0,52,0,0,0,0.3,0.3,0.1,4,0,26,36,72.2,2,32,1,5,2,Match Report
Sat,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Huddersfield,Y,RW,80,0,1,0,1,2,2,0,0,45,0,0,0,0.9,0.1,0.1,3,1,26,37,70.3,2,30,3,3,2,Match Report
Sat,Premier League,Matchweek 11,Away,W 4–1,Liverpool,West Ham,Y,FW,90,2,0,0,0,3,3,0,0,45,0,0,1,0.6,0.6,0.5,6,1,20,32,62.5,2,24,1,1,0,Match Report
Sat,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Southampton,Y,RW,79,2,0,0,0,5,2,0,0,43,0,0,0,0.7,0.7,0.1,4,0,20,27,74.1,5,22,1,6,1,Match Report
Sat,Premier League,Matchweek 13,Home,D 1–1,Liverpool,Chelsea,Y,"RW,FW",90,1,0,0,0,7,2,0,0,61,0,0,1,0.6,0.6,0.1,6,0,32,44,72.7,4,51,6,6,5,Match Report
Wed,Premier League,Matchweek 14,Away,W 3–0,Liverpool,Stoke City,N,FW,24,2,0,0,0,2,2,0,0,14,0,0,0,1.0,1.0,0.1,2,0,8,10,80.0,2,9,0,1,0,Match Report
Sat,Premier League,Matchweek 15,Away,W 5–1,Liverpool,Brighton,Y,FW,79,0,1,0,0,3,1,0,0,29,0,0,0,0.2,0.2,0.4,5,3,17,21,81.0,2,21,1,6,2,Match Report
Sun,Premier League,Matchweek 16,Home,D 1–1,Liverpool,Everton,Y,RW,66,1,0,0,0,7,1,0,0,67,0,0,0,0.5,0.5,0.3,13,2,41,50,82.0,5,50,6,10,6,Match Report
Wed,Premier League,Matchweek 17,Home,D 0–0,Liverpool,West Brom,Y,"FW,RM",90,0,0,0,0,2,0,0,0,33,0,0,1,0.5,0.5,0.4,3,0,21,26,80.8,1,23,2,5,5,Match Report
Sun,Premier League,Matchweek 18,Away,W 4–0,Liverpool,Bournemouth,Y,RW,70,1,0,0,0,4,2,0,0,42,0,0,2,0.8,0.8,0.1,5,2,26,34,76.5,2,22,8,3,3,Match Report
Fri,Premier League,Matchweek 19,Away,D 3–3,Liverpool,Arsenal,Y,"RW,AM",90,1,0,0,0,4,3,0,0,51,0,0,0,0.7,0.7,0.0,7,2,25,35,71.4,5,38,6,2,2,Match Report
Tue,Premier League,Matchweek 20,Home,W 5–0,Liverpool,Swansea City,Y,RW,68,0,2,0,0,4,2,0,0,27,0,0,0,0.6,0.6,0.9,5,2,15,19,78.9,4,17,3,4,3,Match Report
Sat,Premier League,Matchweek 21,Home,W 2–1,Liverpool,Leicester City,Y,RW,82,2,0,0,0,7,2,0,0,36,0,0,0,2.4,2.4,0.0,5,2,19,27,70.4,1,32,6,3,3,Match Report
Sun,Premier League,Matchweek 23,Home,W 4–3,Liverpool,Manchester City,Y,RW,87,1,1,0,0,6,3,0,0,33,0,1,1,0.3,0.3,0.1,5,2,16,21,76.2,0,23,2,3,3,Match Report
Mon,Premier League,Matchweek 24,Away,L 0–1,Liverpool,Swansea City,Y,"RW,LM",90,0,0,0,0,5,1,0,0,49,0,0,0,0.6,0.6,0.5,6,0,33,43,76.7,5,32,1,0,0,Match Report
Tue,Premier League,Matchweek 25,Away,W 3–0,Liverpool,Huddersfield,Y,RW,82,1,0,1,1,2,0,0,0,50,0,0,0,1.0,0.3,0.0,2,1,30,42,71.4,0,27,1,3,3,Match Report
Sun,Premier League,Matchweek 26,Home,D 2–2,Liverpool,Tottenham,Y,RW,90,2,0,0,0,4,2,0,0,38,0,1,1,0.9,0.9,0.1,5,2,18,24,75.0,1,26,3,6,5,Match Report
Sun,Premier League,Matchweek 27,Away,W 2–0,Liverpool,Southampton,Y,"RW,FW",88,1,1,0,0,3,1,0,0,33,1,1,0,0.7,0.7,0.6,6,2,23,26,88.5,5,27,3,1,1,Match Report
Sat,Premier League,Matchweek 28,Home,W 4–1,Liverpool,West Ham,Y,RW,86,1,1,0,0,5,3,0,0,39,0,0,0,0.6,0.6,0.3,4,2,25,31,80.6,4,23,0,1,0,Match Report
Sat,Premier League,Matchweek 29,Home,W 2–0,Liverpool,Newcastle Utd,Y,RW,90,1,0,0,0,5,1,0,0,47,1,0,0,0.6,0.6,0.1,5,0,22,32,68.8,2,31,2,2,1,Match Report
Sat,Premier League,Matchweek 30,Away,L 1–2,Liverpool,Manchester Utd,Y,RW,90,0,0,0,0,1,0,0,0,35,0,0,2,0.1,0.1,0.1,3,0,17,25,68.0,1,21,1,1,0,Match Report
Sat,Premier League,Matchweek 31,Home,W 5–0,Liverpool,Watford,Y,RW,90,4,1,0,0,4,4,0,0,48,1,0,1,1.7,1.7,0.4,7,4,19,35,54.3,4,25,4,9,5,Match Report
Sat,Premier League,Matchweek 32,Away,W 2–1,Liverpool,Crystal Palace,Y,"RW,FW",90,1,0,0,0,4,3,0,0,46,3,0,0,0.6,0.6,0.1,4,0,24,32,75.0,3,27,1,2,1,Match Report
Sat,Premier League,Matchweek 34,Home,W 3–0,Liverpool,Bournemouth,Y,RW,90,1,0,0,0,6,3,0,0,49,0,0,0,0.6,0.6,0.1,4,0,24,33,72.7,3,28,5,6,2,Match Report
Sat,Premier League,Matchweek 35,Away,D 2–2,Liverpool,West Brom,Y,"RW,FW",83,1,0,0,0,4,1,0,0,39,0,0,0,0.5,0.5,0.0,3,0,18,29,62.1,4,29,2,4,3,Match Report
Sat,Premier League,Matchweek 36,Home,D 0–0,Liverpool,Stoke City,Y,"RW,FW",90,0,0,0,0,7,0,0,0,35,0,0,0,0.9,0.9,0.4,4,0,15,20,75.0,3,25,2,5,1,Match Report
Sun,Premier League,Matchweek 37,Away,L 0–1,Liverpool,Chelsea,Y,RW,90,0,0,0,0,1,0,1,0,29,1,0,0,0.0,0.0,0.0,3,0,14,22,63.6,4,26,0,0,0,Match Report
Sun,Premier League,Matchweek 38,Home,W 4–0,Liverpool,Brighton,Y,RW,83,1,1,0,0,4,2,0,0,32,2,0,0,0.8,0.8,0.5,7,3,17,21,81.0,4,19,1,3,2,Match Report
Sun,Premier League,Matchweek 1,Home,W 4–0,Liverpool,West Ham,Y,"RW,FW",86,1,0,0,0,4,3,0,0,39,2,1,0,1.4,1.4,0.1,2,0,23,28,82.1,4,27,2,4,1,Match Report
Mon,Premier League,Matchweek 2,Away,W 2–0,Liverpool,Crystal Palace,Y,RW,90,0,1,0,0,6,1,0,0,34,2,0,0,0.8,0.8,0.7,9,1,13,20,65.0,0,29,4,3,3,Match Report
Sat,Premier League,Matchweek 3,Home,W 1–0,Liverpool,Brighton,Y,RW,90,1,0,0,0,6,2,0,0,60,1,0,0,0.3,0.3,0.4,6,0,30,45,66.7,3,46,6,3,2,Match Report
Sat,Premier League,Matchweek 4,Away,W 2–1,Liverpool,Leicester City,Y,RW,70,0,0,0,0,3,1,0,0,26,0,0,0,0.4,0.4,0.3,4,2,18,22,81.8,2,21,3,3,2,Match Report
Sat,Premier League,Matchweek 5,Away,W 2–1,Liverpool,Tottenham,Y,RW,90,0,0,0,0,4,2,0,0,24,0,0,0,0.5,0.5,0.2,8,0,11,15,73.3,3,20,4,4,3,Match Report
