Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Arsenal,Crystal Palace,N,CM,19,0,0,0,0,0,0,19,3,0,1,0.0,0.0,0.0,0,0,12,12,100.0,0,13,0,1,0,Reiss-Nelson,4,1,1,0,0,5
Home,Arsenal,Southampton,Y,RW,63,0,0,0,0,0,0,52,1,2,2,0.0,0.0,0.0,2,0,42,47,89.4,5,31,0,0,0,Reiss-Nelson,3,2,1,0,0,5
Away,Arsenal,Manchester Utd,Y,LW,63,0,0,0,0,2,0,31,0,1,1,0.1,0.1,0.0,2,0,19,22,86.4,3,22,3,2,1,Reiss-Nelson,1,2,0,0,1,3
Away,Arsenal,Newcastle Utd,Y,LW,70,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.1,4,0,39,46,84.8,1,40,3,4,3,Reiss-Nelson,1,0,1,0,0,1
Home,Arsenal,Burnley,Y,LW,45,0,0,0,0,2,1,14,0,0,0,0.1,0.1,0.0,2,0,9,11,81.8,1,10,1,0,0,Reiss-Nelson,2,1,1,0,0,3
Away,Arsenal,Watford,N,LW,20,0,0,0,0,1,1,11,2,0,0,0.1,0.1,0.0,0,0,4,5,80.0,2,7,1,1,0,Reiss-Nelson,2,2,0,1,0,4
Away,Arsenal,Manchester Utd,N,RW,17,0,0,0,0,1,1,11,1,0,2,0.1,0.1,0.0,0,0,6,7,85.7,1,4,2,1,1,Reiss-Nelson,1,1,0,1,0,2
Away,Arsenal,West Ham,N,RW,3,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,0,3,0,0,0,Reiss-Nelson,3,1,1,0,0,4
Away,Arsenal,Everton,Y,RW,90,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,2,0,21,29,72.4,1,26,4,9,5,Reiss-Nelson,0,0,0,1,0,0
Away,Arsenal,Bournemouth,Y,RW,81,0,0,0,0,3,0,55,1,1,3,0.2,0.2,0.1,5,1,30,39,76.9,5,36,7,5,2,Reiss-Nelson,1,1,0,1,0,2
Home,Arsenal,Chelsea,Y,RW,85,0,0,0,0,0,0,34,0,1,2,0.0,0.0,0.0,0,0,20,25,80.0,4,21,5,4,1,Reiss-Nelson,1,2,0,0,1,3
Home,Arsenal,Manchester Utd,N,RW,29,0,0,0,0,1,0,18,0,0,1,0.1,0.1,0.0,0,0,11,13,84.6,1,12,0,0,0,Reiss-Nelson,2,0,1,0,0,2
