Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Arsenal,Norwich City,Y,RB,61,0,0,0,0,2,0,48,1,0,2,0.0,0.0,0.0,0,0,27,36,75.0,4,12,0,2,1,Takehiro-Tomiyasu,1,0,1,0,0,1
Away,Arsenal,Burnley,Y,RB,90,0,0,0,0,0,0,80,1,1,2,0.0,0.0,0.0,0,0,50,64,78.1,4,28,1,0,0,Takehiro-Tomiyasu,1,0,1,0,0,1
Home,Arsenal,Tottenham,Y,RB,90,0,0,0,0,1,1,66,1,1,2,0.0,0.0,0.0,0,0,44,56,78.6,4,33,2,0,0,Takehiro-Tomiyasu,3,1,1,0,0,4
Away,Arsenal,Brighton,Y,RB,90,0,0,0,0,0,0,52,0,2,2,0.0,0.0,0.0,2,0,32,40,80.0,6,19,0,0,0,Takehiro-Tomiyasu,0,0,0,1,0,0
Home,Arsenal,Crystal Palace,Y,RB,90,0,0,0,0,0,0,89,6,2,0,0.0,0.0,0.0,1,0,63,78,80.8,1,27,1,1,1,Takehiro-Tomiyasu,2,2,0,1,0,4
Home,Arsenal,Aston Villa,Y,RB,90,0,0,0,0,1,0,67,2,0,0,0.0,0.0,0.0,2,0,42,55,76.4,7,32,5,0,0,Takehiro-Tomiyasu,3,1,1,0,0,4
Away,Arsenal,Leicester City,Y,RB,90,0,0,0,0,0,0,54,1,3,2,0.0,0.0,0.0,1,0,32,41,78.0,1,20,1,2,1,Takehiro-Tomiyasu,2,0,1,0,0,2
Home,Arsenal,Watford,Y,RB,90,0,0,0,0,0,0,77,6,1,1,0.0,0.0,0.1,4,0,54,65,83.1,12,39,2,0,0,Takehiro-Tomiyasu,1,0,1,0,0,1
Away,Arsenal,Liverpool,Y,RB,90,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.2,2,0,34,45,75.6,5,26,0,1,0,Takehiro-Tomiyasu,0,4,0,0,1,4
Home,Arsenal,Newcastle Utd,Y,RB,90,0,1,0,0,3,0,95,3,1,1,0.1,0.1,0.5,4,1,73,86,84.9,6,62,1,3,2,Takehiro-Tomiyasu,2,0,1,0,0,2
