Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Arsenal,Manchester City,N,CM,8,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,8,9,88.9,1,6,1,0,0,Thomas-Partey,0,1,0,0,1,1
Home,Arsenal,Leicester City,Y,CM,90,0,0,0,0,0,0,59,1,0,1,0.0,0.0,0.0,1,0,50,54,92.6,4,43,2,1,1,Thomas-Partey,0,1,0,0,1,1
Away,Arsenal,Manchester Utd,Y,CM,90,0,0,0,0,1,1,74,4,2,2,0.0,0.0,0.0,2,0,56,60,93.3,12,48,1,5,4,Thomas-Partey,1,0,1,0,0,1
Home,Arsenal,Aston Villa,Y,CM,45,0,0,0,0,2,1,42,1,1,0,0.6,0.6,0.0,1,0,29,36,80.6,5,29,2,2,2,Thomas-Partey,0,3,0,0,1,3
Away,Arsenal,Tottenham,Y,DM,44,0,0,0,0,2,0,44,3,0,1,0.1,0.1,0.0,0,0,27,34,79.4,4,24,2,2,1,Thomas-Partey,0,2,0,0,1,2
Home,Arsenal,Crystal Palace,N,DM,22,0,0,0,0,0,0,31,4,0,0,0.0,0.0,0.0,1,0,23,25,92.0,1,15,2,3,2,Thomas-Partey,0,0,0,1,0,0
Home,Arsenal,Newcastle Utd,Y,DM,66,0,1,0,0,1,0,69,0,2,0,0.0,0.0,0.1,3,1,56,60,93.3,7,48,3,0,0,Thomas-Partey,3,0,1,0,0,3
Away,Arsenal,Southampton,Y,DM,77,0,0,0,0,0,0,38,2,0,1,0.0,0.0,0.0,2,1,27,30,90.0,5,16,0,4,3,Thomas-Partey,3,1,1,0,0,4
Home,Arsenal,Manchester Utd,Y,DM,90,0,0,0,0,1,0,54,1,1,1,0.0,0.0,0.0,2,0,34,45,75.6,2,32,2,2,1,Thomas-Partey,0,0,0,1,0,0
Away,Arsenal,Wolves,Y,DM,74,0,0,0,0,2,0,67,1,0,1,0.1,0.1,0.3,1,0,50,60,83.3,7,52,2,3,3,Thomas-Partey,1,2,0,0,1,3
Away,Arsenal,Aston Villa,Y,DM,73,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.0,3,0,44,48,91.7,3,31,1,1,0,Thomas-Partey,0,1,0,0,1,1
