Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Arsenal,Crystal Palace,Y,CB,90,0,0,0,0,0,0,59,1,0,2,0.0,0.0,0.0,1,0,45,48,93.8,2,40,0,1,1,William-Saliba,2,0,1,0,0,2
Home,Arsenal,Leicester City,Y,CB,90,0,0,0,0,0,0,59,0,2,0,0.0,0.0,0.0,1,0,46,53,86.8,1,31,1,0,0,William-Saliba,4,2,1,0,0,6
Away,Arsenal,Bournemouth,Y,CB,90,1,0,0,0,1,1,81,2,2,0,0.1,0.1,0.0,0,0,73,73,100.0,1,68,0,0,0,William-Saliba,3,0,1,0,0,3
Home,Arsenal,Fulham,Y,CB,90,0,1,0,0,0,0,102,1,0,0,0.0,0.0,0.7,1,1,92,98,93.9,6,73,0,0,0,William-Saliba,2,1,1,0,0,3
Home,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,0,0,72,1,0,1,0.0,0.0,0.1,1,0,55,62,88.7,2,47,0,0,0,William-Saliba,2,1,1,0,0,3
Away,Arsenal,Manchester Utd,Y,CB,90,0,0,0,0,1,0,66,2,0,0,0.1,0.1,0.0,0,0,57,58,98.3,4,38,0,1,0,William-Saliba,1,3,0,0,1,4
Away,Arsenal,Brentford,Y,CB,90,1,0,0,0,1,1,71,3,0,0,0.2,0.2,0.0,0,0,57,64,89.1,2,49,0,2,2,William-Saliba,3,0,1,0,0,3
Home,Arsenal,Tottenham,Y,CB,90,0,0,0,0,0,0,76,3,0,0,0.0,0.0,0.0,1,0,67,70,95.7,7,52,0,1,1,William-Saliba,3,1,1,0,0,4
Home,Arsenal,Liverpool,Y,CB,90,0,0,0,0,0,0,57,2,2,0,0.0,0.0,0.0,0,0,42,50,84.0,2,33,0,0,0,William-Saliba,3,2,1,0,0,5
Away,Arsenal,Leeds United,Y,CB,90,0,0,0,0,0,0,97,2,0,1,0.0,0.0,0.0,0,0,82,89,92.1,4,67,0,0,0,William-Saliba,1,0,1,0,0,1
Away,Arsenal,Southampton,Y,CB,90,0,0,0,0,0,0,75,1,0,1,0.0,0.0,0.0,1,0,65,69,94.2,4,52,2,0,0,William-Saliba,1,1,0,1,0,2
Home,Arsenal,Nott'ham Forest,Y,CB,75,0,0,0,0,0,0,65,2,1,0,0.0,0.0,0.0,1,0,55,59,93.2,4,36,0,0,0,William-Saliba,5,0,1,0,0,5
Away,Arsenal,Chelsea,Y,CB,90,0,0,0,0,0,0,67,2,2,1,0.0,0.0,0.0,1,0,49,59,83.1,5,40,1,0,0,William-Saliba,1,0,1,0,0,1
Away,Arsenal,Wolves,Y,CB,90,0,0,0,0,0,0,91,0,0,1,0.0,0.0,0.0,0,0,81,88,92.0,4,80,0,0,0,William-Saliba,2,0,1,0,0,2
Home,Arsenal,West Ham,Y,CB,90,0,0,0,0,1,1,106,1,1,0,0.4,0.4,0.0,0,0,93,97,95.9,3,73,0,2,1,William-Saliba,3,1,1,0,0,4
Away,Arsenal,Brighton,Y,CB,90,0,0,0,0,1,0,40,2,1,1,0.1,0.1,0.0,0,0,19,24,79.2,0,18,0,1,1,William-Saliba,4,2,1,0,0,6
Home,Arsenal,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,65,0,0,1,0.0,0.0,0.0,0,0,53,59,89.8,3,38,0,0,0,William-Saliba,0,0,0,1,0,0
Away,Arsenal,Tottenham,Y,CB,90,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.0,0,0,30,33,90.9,2,24,0,0,0,William-Saliba,2,0,1,0,0,2
Home,Arsenal,Manchester Utd,Y,CB,90,0,0,0,0,0,0,71,0,3,0,0.0,0.0,0.0,1,0,58,67,86.6,5,32,0,0,0,William-Saliba,3,2,1,0,0,5
Away,Arsenal,Everton,Y,CB,90,0,0,0,0,0,0,85,1,0,2,0.0,0.0,0.0,1,0,69,76,90.8,1,41,1,0,0,William-Saliba,0,1,0,0,1,1
Home,Arsenal,Brentford,Y,CB,90,0,0,0,0,0,0,63,0,2,0,0.0,0.0,0.0,0,0,47,52,90.4,5,29,1,1,0,William-Saliba,1,1,0,1,0,2
Home,Arsenal,Manchester City,Y,CB,90,0,0,0,0,0,0,89,1,1,0,0.0,0.0,0.0,0,0,75,83,90.4,5,59,2,0,0,William-Saliba,1,3,0,0,1,4
Away,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,0,0,81,2,0,0,0.0,0.0,0.0,0,0,70,75,93.3,3,49,0,0,0,William-Saliba,4,2,1,0,0,6
Away,Arsenal,Leicester City,Y,CB,90,0,0,0,0,0,0,86,0,0,0,0.0,0.0,0.0,0,0,69,86,80.2,2,50,0,0,0,William-Saliba,1,0,1,0,0,1
Home,Arsenal,Everton,Y,CB,90,0,0,0,0,0,0,110,0,0,0,0.0,0.0,0.0,1,0,98,108,90.7,4,72,0,0,0,William-Saliba,4,0,1,0,0,4
Home,Arsenal,Bournemouth,Y,CB,90,0,0,0,0,0,0,96,1,0,0,0.0,0.0,0.3,1,0,87,94,92.6,16,69,4,1,1,William-Saliba,3,2,1,0,0,5
Away,Arsenal,Fulham,Y,CB,90,0,0,0,0,1,0,87,4,1,2,0.0,0.0,0.0,2,1,64,71,90.1,2,63,1,1,1,William-Saliba,3,0,1,0,0,3
